Track Name,Artist,Streams
7 Summers,Morgan Wallen,25872693
Reminds Me Of You,Juice WRLD,25850773
Liberdade Provisória,Henrique & Juliano,25838415
Fly To My Room,BTS,25708871
Talk (feat. Disclosure),Khalid,25591672
Solitaires (feat. Travis Scott),Future,25412152
Tequila Shots,Kid Cudi,25126911
just like magic,Ariana Grande,25055458
eight(Prod.&Feat. SUGA of BTS),IU,25022226
Stay High,Juice WRLD,25000085
Broke In A Minute,Tory Lanez,24868398
Crazy Over You,BLACKPINK,24678365
Show Out (with Skepta & Pop Smoke),Kid Cudi,24498722
When I Look At You,Miley Cyrus,24411328
Love To Hate Me,BLACKPINK,24397358
Que Malo,Bad Bunny,24352142
My Oasis (feat. Burna Boy),Sam Smith,24282141
Hablamos Mañana,Bad Bunny,24181407
tolerate it,Taylor Swift,24063624
La Zona,Bad Bunny,24017547
IDK You Yet,Alexander 23,23798137
The Take (feat. Chris Brown),Tory Lanez,23613606
Telepathy,BTS,23500396
Alone Again,The Weeknd,23432308
De Cora <3,Rauw Alejandro,23376440
Darkness,Eminem,23277296
Old Me,5 Seconds of Summer,23276659
Scared To Live,The Weeknd,23160349
Never Let Me Down,VIZE,23065836
Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,22836286
Hallucinate,Dua Lipa,22804493
Afterglow,Ed Sheeran,22710980
Papi Chulo,Octavian,22703419
Una Vez,Bad Bunny,22696055
@ MEH,Playboi Carti,22553114
mad woman,Taylor Swift,22538022
Too Late,The Weeknd,22254304
Stay Gold,BTS,22221409
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,22104455
Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,22104205
changes,XXXTENTACION,22051101
Dis-ease,BTS,22042721
Christmas Lights,Coldplay,21983182
Blueberry Eyes (feat. SUGA of BTS),MAX,21839243
<3,Bad Bunny,21733626
MORE,K/DA,21686563
TE DESEO LO MEJOR,Bad Bunny,21673177
Stay,BTS,21601615
Only The Young - Featured in Miss Americana,Taylor Swift,21543094
Fútbol & Rumba (feat. Enrique Iglesias),Anuel AA,21440723
Better,ZAYN,21252303
CANCIÓN CON YANDEL,Yandel,21196673
Past Life (with Selena Gomez),Trevor Daniel,21178417
Unaccommodating (feat. Young M.A),Eminem,21167554
Have Yourself A Merry Little Christmas,Sam Smith,21121234
Kein Wort,Juju,21111742
Silly Watch,Lil Uzi Vert,21104241
Tudo Ok,Thiaguinho MT,21098129
MÁS DE UNA CITA,Bad Bunny,21070900
Promiscuous,Nelly Furtado,20670614
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,20636729
epiphany,Taylor Swift,20627791
Baby,Joker Bra,20568641
The Other Side (from Trolls World Tour),SZA,20530243
Panini,Lil Nas X,20410288
